Id,SalePrice
1461,208319.59623784022
1462,192119.83534242032
1463,221235.08984897129
1464,174633.87294618052
1465,301768.69176478934
1466,161211.96638414136
1467,279838.2536397674
1468,217385.40966931425
1469,131624.53591604892
1470,124216.86964650743
1471,130230.71145280059
1472,386613.6746186278
1473,132507.7732395142
1474,224723.7915963608
1475,150712.2956094505
1476,133278.8481078977
1477,156852.76754080705
1478,111741.14852454199
1479,155223.88739466498
1480,127885.87372042562
1481,325636.02319453936
1482,128285.67967258292
1483,229570.14452931573
1484,140066.0737175803
1485,152203.08893171506
1486,251774.5679591741
1487,130814.25667316456
1488,291925.14992478635
1489,197624.20404703374
1490,68782.55965106036
1491,68062.95374886462
1492,135860.37276732325
1493,201985.14875054779
1494,175545.63781973513
1495,291658.4857590543
1496,312826.50569844927
1497,148426.93694687227
1498,147766.59699663203
1499,125913.73543497633
1500,81161.56261590809
1501,145341.9745703666
1502,161829.97977771313
1503,147957.12007141227
1504,133194.95018827321
1505,142372.17972930017
1506,302744.40059102315
1507,261952.81930044614
1508,250259.54889139542
1509,96776.35318779602
1510,132826.10492913326
1511,181352.27369478307
1512,126219.89474093125
1513,100737.6040180264
1514,340498.3142778961
1515,129588.995231493
1516,162561.2092207653
1517,198287.31215299506
1518,196368.26684656081
1519,440343.4967599685
1520,119898.55757536182
1521,175258.8286280242
1522,103330.03500396194
1523,214000.05618603996
1524,133471.6353494762
1525,227783.3450991705
1526,301429.8230988094
1527,222428.49015306626
1528,217863.0854969598
1529,76834.38161836324
1530,224975.60623401552
1531,268965.8090331044
1532,119365.78624000165
1533,193870.24984620337
1534,139155.8961943571
1535,102385.79399181118
1536,97478.93106440302
1537,118494.43120934
1538,118747.35922689093
1539,121806.50533664918
1540,116512.46809386775
1541,199860.3561693222
1542,164465.07422768124
1543,244729.68121996912
1544,125846.55177608195
1545,166733.34877741695
1546,266409.8340455079
1547,184900.1914887827
1548,162380.93923692007
1549,57828.70178291353
1550,121747.28408960426
1551,105865.37351382388
1552,112172.45330282635
1553,147220.75458862184
1554,138787.1232595351
1555,194852.02184367445
1556,192348.49721879454
1557,216555.05674952254
1558,110173.86357482088
1559,81885.63264387823
1560,118451.48265714676
1561,217318.75034755262
1562,170246.77181127924
1563,117615.39616571502
1564,183946.69466899807
1565,157467.45780643116
1566,251615.01487090642
1567,94226.2140454698
1568,92504.8012453875
1569,115174.77158520234
1570,208202.1781136854
1571,144617.0601935749
1572,183260.8724465384
1573,355485.6796337924
1574,222040.115683786
1575,241796.72221693417
1576,167904.96790595216
1577,122948.78920702275
1578,143484.5785631308
1579,303097.5426196109
1580,177790.04612823972
1581,175174.74208068696
1582,96864.19806228582
1583,144001.5986722568
1584,159822.53526843985
1585,174747.35438014567
1586,98553.38420208517
1587,127055.03445429483
1588,84575.06713966183
1589,140769.0954465091
1590,143275.35877299248
1591,231334.12477342246
1592,221817.0559920616
